nazov_en;kategoria_navrh;kuchyna;diera_ktoru_zaplna;zdroj;zdroj_url;themealdb_id;kategoria_tmdb
Baked salmon with fennel & tomatoes;Hlavné jedlo;British;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/52959;52959;Seafood
Fish Soup (Ukha);Hlavné jedlo;Russian;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/53079;53079;Seafood
Honey Teriyaki Salmon;Hlavné jedlo;Japanese;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/52773;52773;Seafood
Salmon Avocado Salad;Hlavné jedlo;British;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/52960;52960;Seafood
Salmon noodle soup;Hlavné jedlo;Vietnamese;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/53234;53234;Seafood
Salmon noodle wraps;Hlavné jedlo;Vietnamese;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/53248;53248;Seafood
Salmon Prawn Risotto;Hlavné jedlo;Italian;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/52823;52823;Seafood
Three Fish Pie;Hlavné jedlo;British;ryby/morské plody (Salmon);TheMealDB;https://www.themealdb.com/meal/52882;52882;Seafood
Portuguese fish stew (Caldeirada de peixe);Hlavné jedlo;Portuguese;ryby/morské plody (Cod);TheMealDB;https://www.themealdb.com/meal/53045;53045;Seafood
Mediterranean Pasta Salad;Hlavné jedlo;Italian;ryby/morské plody (Tuna);TheMealDB;https://www.themealdb.com/meal/52777;52777;Seafood
Tuna and Egg Briks;Hlavné jedlo;Tunisian;ryby/morské plody (Tuna);TheMealDB;https://www.themealdb.com/meal/52975;52975;Seafood
Tuna Nicoise;Hlavné jedlo;France;ryby/morské plody (Tuna);TheMealDB;https://www.themealdb.com/meal/52852;52852;Seafood
Bang bang prawn salad;Hlavné jedlo;Vietnamese;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53239;53239;Seafood
Camaro Grelhado Com Molho Cru (Grilled Prawns with Green Onion Sauce);Hlavné jedlo;;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53428;53428;Seafood
Fish pie;Hlavné jedlo;British;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/52802;52802;Seafood
Fish Stew with Rouille;Hlavné jedlo;France;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/52918;52918;Seafood
Garlicky prawns with sherry;Hlavné jedlo;Spanish;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53180;53180;Seafood
Kung Po Prawns;Hlavné jedlo;Chinese;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/52946;52946;Seafood
Mee goreng mamak;Hlavné jedlo;Malaysian;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53048;53048;Seafood
Prawn & noodle salad with crispy shallots;Hlavné jedlo;Vietnamese;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53244;53244;Seafood
Seafood fideuà;Hlavné jedlo;Spanish;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/52836;52836;Seafood
Shrimp Chow Fun;Hlavné jedlo;Chinese;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/52953;52953;Seafood
Spanish rice & prawn one-pot;Hlavné jedlo;Spanish;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53184;53184;Seafood
Spicy Thai prawn noodles;Hlavné jedlo;Thai;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53209;53209;Seafood
Spring onion and prawn empanadas;Hlavné jedlo;Portuguese;ryby/morské plody (Prawns);TheMealDB;https://www.themealdb.com/meal/53040;53040;Seafood
Recheado Masala Fish;Hlavné jedlo;India;ryby/morské plody (Mackerel);TheMealDB;https://www.themealdb.com/meal/52809;52809;Seafood
Fresh sardines;Príloha;Croatian;ryby/morské plody (Sardines);TheMealDB;https://www.themealdb.com/meal/53061;53061;Side
Grilled Portuguese sardines;Hlavné jedlo;Portuguese;ryby/morské plody (Sardines);TheMealDB;https://www.themealdb.com/meal/53041;53041;Seafood
Corba;Príloha;Turkish;strukoviny (Lentils);TheMealDB;https://www.themealdb.com/meal/52977;52977;Side
Tahini Lentils;Hlavné jedlo;Moroccan;strukoviny (Lentils);TheMealDB;https://www.themealdb.com/meal/52869;52869;Vegetarian
Chicken Couscous;Hlavné jedlo;Moroccan;strukoviny (Chickpeas);TheMealDB;https://www.themealdb.com/meal/52850;52850;Chicken
Chickpea Fajitas;Hlavné jedlo;Mexican;strukoviny (Chickpeas);TheMealDB;https://www.themealdb.com/meal/52870;52870;Vegetarian
Chickpea, chorizo & spinach stew;Hlavné jedlo;Spanish;strukoviny (Chickpeas);TheMealDB;https://www.themealdb.com/meal/53166;53166;Pork
