nazov_en;typ_prenosne;kategoria_tmdb;kuchyna;tazko_dostupnych;suroviny_na_nahradu;zdroj;zdroj_url;themealdb_id;ingrediencie
Bread omelette;frittata / omeleta / vajcia;Breakfast;India;0;;TheMealDB;https://www.themealdb.com/meal/53076;53076;Bread, Egg, Salt
Chorizo, potato & cheese omelette;frittata / omeleta / vajcia;Pork;Spanish;0;;TheMealDB;https://www.themealdb.com/meal/53159;53159;Potatoes, Olive Oil, Chorizo, Egg, Parsley, Cheddar Cheese
Provençal Omelette Cake;frittata / omeleta / vajcia;Vegetarian;France;0;;TheMealDB;https://www.themealdb.com/meal/52921;52921;Eggs, Olive Oil, Courgettes, Spring Onions, Red Pepper, Garlic Clove, Red Chilli, Cream Cheese, Milk, Chives, Basil, Rocket, Parmesan
Shakshuka;frittata / omeleta / vajcia;Vegetarian;Egyptian;0;;TheMealDB;https://www.themealdb.com/meal/52963;52963;Olive Oil, Red Onions, Red Chilli, Garlic, Coriander, Cherry Tomatoes, Caster Sugar, Eggs, Feta
Shakshuka Feta Cheese;frittata / omeleta / vajcia;Miscellaneous;Saudi Arabian;0;;TheMealDB;https://www.themealdb.com/meal/53219;53219;Egg, Tomato Sauce, Olive Oil, Shallots, Celery, Garlic, Spinach, Feta, Red Pepper, Ground Cumin, Salt, Black Pepper
Spanish Tortilla;frittata / omeleta / vajcia;Vegetarian;Spanish;0;;TheMealDB;https://www.themealdb.com/meal/52872;52872;Onion, Olive Oil, Butter, Potatoes, Garlic, Eggs, Parsley, Baguette, Vine Tomatoes, Olive Oil
Spiced tortilla;frittata / omeleta / vajcia;Vegetarian;Spanish;0;;TheMealDB;https://www.themealdb.com/meal/53142;53142;Sunflower Oil, Onion, Red Chilli, Curry Powder, Cherry Tomatoes, Potatoes, Coriander, Egg
Vegetarian Shakshuka;frittata / omeleta / vajcia;Vegetarian;Saudi Arabian;0;;TheMealDB;https://www.themealdb.com/meal/53222;53222;Red Onions, Red Pepper, Tomato, Cumin, Garlic Granules, Cayenne Pepper, Paprika, Egg, Parsley, Chilli Flakes, Toast
Yemeni Lahsa (Elite Shakshuka);frittata / omeleta / vajcia;Breakfast;Saudi Arabian;0;;TheMealDB;https://www.themealdb.com/meal/53225;53225;Egg, Onion, Tomato, Olive Oil, Allspice, Black Pepper, Liquid Cheese
French Omelette;frittata / omeleta / vajcia;Miscellaneous;France;1;gruyère → ementál alebo zrejúca gouda;TheMealDB;https://www.themealdb.com/meal/52915;52915;Eggs, Butter, Parmesan, Tarragon Leaves, Parsley, Chives, Gruyère
Salt cod tortilla;frittata / omeleta / vajcia;Seafood;Spanish;1;solená treska → mrazená treska + nasolenie 12 h;TheMealDB;https://www.themealdb.com/meal/53171;53171;Olive Oil, Onion, Jersey Royal Potatoes, Garlic, Egg, Parsley, Salt Cod
Acaraje black-eyed pea fritters with shrimp filling;placka / fritter / kroketa / guľka;Seafood;;0;;TheMealDB;https://www.themealdb.com/meal/53483;53483;Black Eyed Peas, Garlic, Green Chilli, Red Onions, Plain Flour, Salt, Chilli Powder, Baking Powder, Vegetable Oil, Red Onions, Ginger, Garlic, Red Chilli, Raw tiger prawns, Vegetable Oil, Plum Tomatoes, Coriander, Lime
